id,value,min,max,notes
oyster.bombletDamagePerLevel,14,0,60,oyster bomblet damage per level
oyster.bombletBlastRadius,4.6,0.5,15,oyster bomblet blast radius — must stay ABOVE max bomblet travel (2.44 at the shipped speed/drag/life; see CONFIG.oyster) or the burst leaves a hole where the pearl actually landed
oyster.bombletBlastRadiusPerLevel,0.34,0,2,oyster blast radius per level
razorClam.fireRate,1.6,0.2,8,razor clam seconds between volleys at level 1
razorClam.fireRatePerLevel,0.95,0.5,1,razor clam cadence multiplier per level (compounds)
razorClam.damage,24,1,120,razor clam damage per blade
razorClam.damagePerLevel,5,0,40,razor clam damage per blade per level
razorClam.count,3,1,20,razor clam blades in the level-1 volley
razorClam.countPerLevel,1,0,5,razor clam blades per level
razorClam.arc,0.5,0.05,6.283,razor clam level-1 fan width in radians
razorClam.arcFullAt,8,2,20,razor clam level the fan closes into a full circle — must match the card's maxStacks
razorClam.spread,0.045,0,0.5,razor clam per-blade angular jitter
razorClam.speed,25,4,60,razor clam blade speed
razorClam.speedJitter,0.08,0,0.5,razor clam per-blade speed variation
razorClam.life,1.15,0.2,6,razor clam seconds a blade flies
razorClam.radius,0.24,0.05,1.5,razor clam blade hit radius
razorClam.basePierce,3,0,20,razor clam bodies one blade cuts past the first
razorClam.piercePerLevel,0.6,0,3,razor clam pierce per level (floored)
razorClam.pierceMax,9,0,30,razor clam pierce ceiling
seagullBomb.baseFireRate,2.3,0.5,10,seagull seconds between runs at level 1
seagullBomb.fireRatePerLevel,0.85,0.5,1,seagull fire rate mult per level
seagullBomb.damage,87,1,150,seagull direct hit damage
seagullBomb.splashDamage,96,0,200,seagull splash damage — the run IS the blast; the direct hit is only whichever crab happened to be under it
seagullBomb.splashRadius,12,0.5,20,seagull splash radius — wide enough to clear the whole pile it dived on, not just its centre
seagullBomb.damagePerLevel,29,0,60,"seagull direct hit damage added per level. A third of the level-1 hit, so a maxed stack roughly triples the bird that lands on the crab"
seagullBomb.splashDamagePerLevel,32,0,80,"seagull splash damage added per level. Tracks damagePerLevel at the same third-of-base ratio — the blast IS the run, so if either half is to lead it is this one"
seagullBomb.splashRadiusPerLevel,0.9,0,4,"seagull splash radius added per level. Deliberately gentler than the damage: reach compounds against a crowd in a way a damage number does not, and 12 was already wide enough to clear a whole pile"
seagullBomb.kick.enabled,1,,,"seagull: a mid-air relaunch that passes through a gull refills the boost meter and scores a food chain link. Off, and the bird and the breach go back to passing through each other"
seagullBomb.kick.radius,1.6,0.2,5,seagull kick: reach added to the seal's own hit radius for that intercept. Two bodies on crossing paths at 30 and 13 units/sec — tuned for a stationary target this is a coin flip rather than a read
seagullBomb.kick.refill,1,0,1,"seagull kick: share of the boost meter a kicked gull hands back. 1 is the whole bar — it is the only pip in the game that comes from ABOVE the water, and it costs a jump and an interception to collect"
eel.fireRate,2,0.2,4,eel seconds between zaps
eel.baseDamage,38,1,80,eel damage per hop
eel.damagePerLevel,18,0,30,eel damage per level
eel.baseChainRadius,12.5,1,20,eel chain radius
eel.radiusPerLevel,1.2,0,5,eel chain radius per level
eel.baseMaxChain,5,1,15,eel hops at level 1
eel.chainPerLevel,1,0,5,eel hops per level
eel.initialRange,30,2,40,eel reach of the first zap
biolum.damageFraction,0.3,0,1,glow-up element damage as a share of the hit that carried it
biolum.damageFractionPerLevel,0.16,0,0.5,glow-up element damage per level
biolum.statusPerLevel,0.22,0,1,glow-up status strength per level
biolum.strikeFraction,0.5,0,1,glow-up share a dash carries
starfish.baseFireRate,0.42,0.05,2,starfish seconds between throws at level 1
starfish.fireRatePerLevel,0.88,0.5,1,starfish fire rate mult per level (compounds)
starfish.damage,22,1,120,starfish damage per hit
starfish.damagePerLevel,6,0,40,starfish damage per level — the stack used to buy cadence and size ONLY
starfish.basePierce,1,0,10,starfish bodies one shuriken cuts through beyond the first
starfish.piercePerLevel,0.34,0,2,starfish extra pierce per level (floored — one more body every third stack)
starfish.pierceMax,4,0,12,starfish pierce cap
starfish.speed,26,4,50,starfish throw speed
starfish.life,1.4,0.2,5,starfish seconds before it sinks
starfish.baseRadius,0.23,0.05,1,starfish hit radius at level 1
starfish.radiusPerLevel,0.06,0,0.3,starfish hit radius per level
laserEyes.fireEvery,2.2,0.4,6,laser seconds between burns at level 1
laserEyes.fireEveryPerLevel,-0.2,-1,0,laser cadence gain per level
laserEyes.fireEveryMin,1,0.3,4,laser fastest allowed cadence
laserEyes.burn,0.5,0.1,2,laser seconds each burn stays lit — the uptime lever (see CONFIG.laserEyes)
laserEyes.burnPerLevel,0.06,0,0.4,laser burn seconds per level
laserEyes.damage,13,1,60,laser damage per TICK of contact — CONFIG.beams.tickEvery decides how often
laserEyes.damagePerLevel,3.6,0,20,laser damage per level
laserEyes.reach,26,5,60,laser beam length
laserEyes.reachPerLevel,3.2,0,10,laser beam length per level
laserEyes.beams,2,1,4,laser beams at level 1
laserEyes.beamsPerLevel,0.4,0,1,laser beams per level (floored)
laserEyes.beamsMax,4,1,8,laser beam count cap
laserEyes.spread,0.17,0,0.8,laser radians between beams once there are more than two
sealTeam.maxSeals,6,1,12,escort squad size cap
sealTeam.contactDamage,24,0,80,escort ram damage
sealTeam.damagePerLevel,8,0,30,escort ram damage per level
sealTeam.contactRadius,1.05,0.2,4,escort ram reach
sealTeam.contactCooldown,0.4,0.05,3,escort per-target re-hit delay
sealTeam.evolveLevel,4,1,12,level the squad opens fire — must be under the card's maxStacks or it never fires
sealTeam.evolved.fireRate,1.1,0.1,5,escort gun fire rate
sealTeam.evolved.damageMul,0.7,0.1,3,escort gun damage x player
sealTeam.evolved.range,16,2,40,escort gun range
beluga.fireRate,1.8,0.3,8,beluga seconds between bubbles
beluga.speed,15,2,30,beluga bubble speed
beluga.life,4,0.5,10,beluga bubble lifespan
beluga.trapDuration,5.2,0.5,10,beluga seconds a catch is held
beluga.durationPerLevel,0.7,0,3,beluga extra seconds held per level
beluga.maxCatch,3,1,8,beluga creatures one bomblet can seal
beluga.splitDelay,0.9,0.1,4,beluga seconds the cluster floats before it splits
beluga.splitCount,5,1,12,beluga bomblets per cluster
beluga.bombletScale,0.45,0.1,1,beluga bomblet size x the cluster
beluga.fuse,0.8,0.1,4,beluga seconds a bomblet drifts before it pops
beluga.baseBubbleRadius,0.5,0.1,2,beluga bubble size
beluga.radiusPerLevel,0.24,0,0.5,beluga bubble size per level
beluga.airRefill,18,0,60,"beluga oxygen the seal gets for swimming into a whole cluster and popping it. A bomblet pays its share by size (bombletScale of this). Against oxygen.bubbleRefillAmount's 30 for an orb: the bubbles are already where you are, and taking one costs you the trap it would have made"
club.damage,6,0,40,club whack damage — a CHIP on purpose; the carom is the payload
club.damagePerLevel,2.5,0,20,club whack damage per level
club.length,2.4,0.5,6,club reach fin tip to head
club.lengthPerLevel,0.4,0,2,club reach per level
club.headRadius,0.6,0.1,2,club head contact radius
club.contactCooldown,0.45,0.05,2,club per-body re-hit delay
club.launchSpeed,38,5,90,club launch speed of a struck body
club.dashLaunchMul,1.5,1,4,club dash launch multiplier
club.ricochetDamage,18,0,60,club carom damage per body hit
club.ricochetDamagePerLevel,5,0,20,club carom damage per level
club.maxBounces,3,0,10,club carom bounces
club.bouncesPerLevel,1,0,4,club carom bounces per level
club.knock,0.8,0,2,club knockback every hit adds (1 = a full-charge ram)
club.launchKnockMul,1.4,0.5,4,club extra knockback on a body the swing launches
club.teed.damageMul,2.4,1,6,club damage x on a body already held or dazed
club.teed.launchMul,1.6,1,4,club launch x on a body already held or dazed
club.teed.minPower,0,0,1.6,club floor under swing power for a teed hit — 0 on purpose
club.bigRigShare,0.35,0,1,club share of Big Rigz a fin club takes (the ring takes it all)
clubStacks.guaranteed,2,1,6,club stacks per type that always add a club before the roll starts
clubStacks.sizeStep,1.18,1,2,club size x when a stack rolls size
clubStacks.damageStep,1.3,1,3,club damage x when a stack rolls damage
club.assistSpin,0,0,12,club free spin — a crutch; 0 means swings are performed
club.finCarry,2.2,0,4.4,club carry-through from the fin turning (must stay under damping)
club.finAuthority,8,1,30,club fin rate at which a swung flipper beats the water
club.bodyCarry,0.55,0,3,club carry-through from the seal changing direction
club.bodyCarryMax,260,20,800,club biggest acceleration spike it will believe
club.shock.minSwing,11,2,30,club shockwave: the swing peak that earns one
club.shock.fullSwing,22,4,40,club shockwave: the peak that pays in full
club.shock.radius,4.2,1,12,club shockwave radius at a full peak
club.shock.damage,11,0,50,club shockwave damage
club.shock.damagePerLevel,4,0,20,club shockwave damage per level
club.shock.knock,0.9,0,2,club shockwave shove
club.shock.cooldown,0.55,0.05,3,club shockwave minimum gap per club
club.shock.armTime,0.3,0,2,club shockwave: settle time before a new club may fire one
club.twirl.enabled,1,,,club twirl: the basic club is never thrown (CONFIG.clubThrow.neverThrown) - this is what it does with a strike instead
club.twirl.spin,24,0,34,"club twirl: rad/sec a kept fin club is driven to while a dash is live. THIS IS ITS DAMAGE - every club hit is scaled by the club's own measured spin - so it is set against three other numbers, not by eye: over powerReference x powerMax (14.4) so its hits are at the swing ceiling, over shock.fullSwing (22) so it cracks a full-grade shockwave, and under maxSwing (34) or that cap owns this value instead"
club.twirl.spinUp,14,1,60,"club twirl: per-second approach rate toward that spin. At 14 it is two thirds of the way there in the first tenth of a second, which is what 'rapidly' has to mean on a dash that can be over in half of one"
club.orbit.radius,3.6,1,10,club ring how far the spare clubs orbit
club.orbit.speed,1.5,0,8,club ring how fast it turns
club.orbit.spin,8,0,24,club ring tumble rate — this is an orbiter's damage
clubThrow.countAtMin,1,0,8,hurler clubs at a flick
clubThrow.countAtFull,7,1,16,hurler clubs at a full charge
clubThrow.countPerLevel,2,0,4,hurler clubs per level
clubThrow.damageMul,1.6,0.1,4,hurler damage x the melee club
clubThrow.pierce,1,0,6,hurler bodies pierced
clubBoom.damage,6,0,60,boom boom club blast damage
clubBoom.damagePerLevel,3,0,20,boom boom club damage per level
clubBoom.radius,2.4,0.5,12,boom boom club blast radius
clubBoom.radiusPerLevel,0.4,0,3,boom boom club radius per level
clubIce.slowPerHit,0.2,0,0.7,cold snap slow added per hit
clubIce.slowPerHitPerLevel,0.06,0,0.3,cold snap slow per level
clubIce.duration,3.2,0.2,10,cold snap seconds before it thaws
clubIce.freezeFor,1,0,5,cold snap freeze on saturation
clubIce.freezeForPerLevel,0.2,0,1,cold snap freeze per level
strike.damage,40,1,200,strike nominal damage — what Bone Shrapnel and Glow Up! measure against
strike.cardDamage,5,0,30,strike damage added per strike-family card
strike.weakSpot.share,1,0,3,"strike: how much of the strike's full damage a RAM lands on a boss WEAK SPOT — the one place contactShare does not apply. 0 turns the mechanic off and gives the dash back to the shove; 1 means aiming a dash into the mark is worth a whole strike, before critMul"
strike.companionStack.enabled,1,,,"perfect strike: the companions hit with you. Off, and a perfect charge is worth only the weak-spot multiplier below — which is what it was worth before this existed"
strike.companionStack.share,0.25,0,1,perfect strike: what share of its OWN hit each companion lends to the release burst. Summed over bodies not cards — three orcas and six escorts is nine contributions — so this is well under 1 on purpose
strike.companionStack.maxMul,2,0,6,"perfect strike: the ceiling on that bonus, in strike-damages. 2 = the companions may at most triple a perfect strike. 0 removes the cap, which makes a late companion build unbounded relative to the strike it is scaling"
strike.weakSpot.perfectMul,2,1,6,"strike: what a PERFECT CHARGE multiplies that weak-spot bite by — the first thing the perfect latch has ever bought. On the beat without a perfect charge still bites, at 1x. At 2 a perfect full-charge ram is ~390 after hotSpots.critMul, about one rupture pool on a first boss"
strike.chainDamageMul,1.11,1,1.5,strike food-chain damage mult per link — COMPOUNDS over links AND over Killer Instinct stacks
strike.chainWindow,2.2,0.4,4,food chain: seconds without a mouthful before the chain lapses. THE number that decides whether a chain can be kept up — at 1.1 a link needed a strike every 1.5s (npm run sim:chain)
strike.charge.perfectAt,1,0.5,1,perfect charge: the fraction of a full bank that counts as perfectly loaded. The meter pops here and mechanics will be hung off it — below 1 the top of the bar becomes a window a player can hit early rather than a ceiling they hold against
strike.charge.sweetFraction,0.04,0.01,0.5,"sweet spot: how much error a release is allowed either side of the STRIKE NOW! moment, as a fraction of the wind-up. Inside it the strike deals its damage; outside it the dash is a pure speed boost. It no longer gates the food chain - a completed charge arms that at any timing - which is why it can afford to be tight. 0.04 on a 1s bar is 40ms either side, five frames at 60fps. Careful below this: the window quantizes to FRAMES, and 0.03 is three frames at 60fps and a single frame at 30"
strike.linkMinPips,1,1,12,"food chain: chum a sweet-spot strike must collect before it counts as a FOOD CHAIN. The strike arms it; the food scores it, and the number then ticks up one per pip eaten inside the window. 1 = hit the beat, eat one thing"
strike.linkPipsPerLink,1,0,4,"food chain: how much the price of a link goes UP with each link already banked. 1 = link 1 costs linkMinPips mouthfuls, link 2 one more, link 3 two more — a x5 chain is 15 chum, not 5. Partial progress is banked and survives a release; it dies with the chain. 0 is the old flat rule, one mouthful one link"
strike.charge.startPips,0,0,12,"boost meter: pips a run OPENS with. 0 = a dead meter until the first mouthful, so the food chain is the only thing that fuels a strike. Set at or above the pip count to start full (the old behaviour)"
airborne.enabled,1,,,air time: master switch for everything a breach is worth
airborne.rampTime,1.1,0.2,5,air time: seconds of hang for a full ramp
airborne.jumpRamp,0.4,0,1.5,air time: ramp added per mid-air jump used
airborne.maxRamp,1.6,0.2,4,air time: ceiling on the summed ramp — the one number that caps air play
airborne.damageMul,0.55,0,3,air time: extra damage at full ramp (multiplier is 1 + ramp x this)
airborne.fireRateMul,1,0,3,"air time: extra fire rate at full ramp. 1 = the gun goes DOUBLE TIME at the top of the ramp, which is the only value that keeps it on the bar grid (see CONFIG.weapon.beatLock). The ramp is continuous, so snapToBarGrid steps it: the gear change lands where the ramp crosses sqrt(2), about 41% up"
airborne.pickupMul,0.9,0,4,air time: extra chum pickup radius at full ramp
airborne.jumps.max,1,0,4,air jumps: relaunches granted per breach — 1 is a double jump
airborne.jumps.speed,30,5,60,air jumps: launch speed
airborne.jumps.upBias,0.45,0,1,air jumps: how much of the launch is forced upward (0 = pure dash)
airborne.jumps.invuln,0.3,0,1.5,air jumps: i-frames granted per relaunch
airborne.slam.enabled,1,,,splash-down: master switch for the re-entry blast
airborne.slam.damage,46,0,200,splash-down: blast damage at ramp 1
airborne.slam.radius,7.5,0,20,splash-down: blast radius at ramp 1
airborne.slam.minRamp,0.18,0,1,splash-down: ramp below which no blast fires at all
airborne.slam.speedBonus,0.02,0,0.2,splash-down: extra multiplier per unit/sec of impact speed
airborne.slam.speedMax,1.6,1,4,splash-down: cap on that speed multiplier
octoGrab.reach,7,1,25,octopus: grab radius at level 1 — one tentacle measures 5.86 so the cap is 11.14
octoGrab.reachPerLevel,0.35,0,3,octopus: grab radius per level — level 8 asks for 9.45 of that cap
octoGrab.reachStretch,1.9,1,2.5,octopus: how far past its real length an arm may strain (sets the cap)
harp.interval,2.2,0.3,10,harp: seconds between plucks at level 1
harp.intervalPerLevel,0.16,0,1,harp: cadence gain per level
harp.intervalFloor,0.85,0.2,5,harp: fastest allowed cadence
harp.range,20,2,40,harp: how far from the player it looks for a target
harp.rangePerLevel,0.7,0,4,harp: target range per level
harp.damage,22,0,120,harp: music note impact damage
harp.damagePerLevel,5,0,40,harp: note damage per level
harp.speed,17,4,60,harp: note flight speed
harp.turnRate,4.5,0.5,15,harp: note homing turn rate (rad/sec)
harp.homingDelay,0.12,0,1,harp: straight flight before the seeker engages
harp.life,3.5,0.5,10,harp: note lifetime
harp.noteRadius,0.42,0.1,2,harp: note hit radius
harp.charmDuration,3,0.5,20,harp: how long the charm holds at level 1
harp.charmDurationPerLevel,0.3,0,3,harp: charm duration per level
harp.auraDuration,4.5,0.5,25,harp: how long the note ring lasts — outlives the charm on purpose
harp.auraDurationPerLevel,0.4,0,3,harp: aura duration per level
harp.auraRadius,3.4,0.5,15,harp: note ring damage radius
harp.auraRadiusPerLevel,0.22,0,2,harp: aura radius per level
harp.auraDamage,9,0,80,harp: aura damage per tick
harp.auraDamagePerLevel,3,0,30,harp: aura damage per tick per level
harp.auraTick,0.45,0.05,3,harp: seconds between aura ticks
homingShot.turnRate,3.4,0.5,12,sonar teeth: how sharply a pellet curves (rad/s) — under the mussel's on purpose
homingShot.turnRatePerLevel,0.85,0,4,sonar teeth: turn rate per level
homingShot.acquireRadius,11,1,40,sonar teeth: how far a pellet looks for a target
homingShot.acquireRadiusPerLevel,2.2,0,10,sonar teeth: acquisition radius per level
homingShot.homingDelay,0.05,0,1,sonar teeth: straight flight before the seeker engages
homingShot.sizeBias,0.55,0,2,sonar teeth: how much bigger reads as nearer — 0 is plain nearest-wins
homingShot.sizeBiasPerLevel,0.05,0,0.5,sonar teeth: size bias per level
homingShot.refRadius,0.4,0.05,4,sonar teeth: the radius that counts as ordinary (the plain fish)
maneater.damagePerMeal,0.02,0,0.4,maneater: all damage added per human eaten per stack
maneater.maxBonus,1.5,0,10,maneater: ceiling on the accumulated bonus
ironLung.damagePerOxygen,0.002,0,0.05,iron lung: all damage per point of MAX oxygen per stack
ironLung.maxBonus,3,0,20,iron lung: ceiling on the bonus
oxygen.max,132,20,300,"the size of one breath, in points. Against a 5/sec deplete rate this is the seconds of dive it buys — 132 = 26.4s. Base for every Deep Lungs stack and what Iron Lung reads its damage off"
oxygen.refillRateSurface,52.5,5,120,"how fast a breach refills the tank, per second above the water line — the only way air comes back other than a bubble. Against the 5/sec deplete it is the exchange rate of the whole dive: 52.5 buys 10.5 seconds of dive per second spent in the air, and refills a full 132-point breath in 2.5s. Was a slider, and a snapshot was holding it at 35 where config.js could not reach it"
player.maxHp,115,20,400,"the seal's starting health. Read against the enemy toughness ramp (CONFIG.spawn.ramp) and player.hpPerLevel, not by eye — it is the survivability half of the same economy oxygen.max is the dive half of. Had no slider AND no CSV row, so the 100 sitting in imported-tuning.json was its only real home"
bakalar.catch.refPrey,1.2,0.2,4,bakalar the prey radius the net is calibrated on (a shark)
bakalar.catch.grip,1.6,0.05,8,bakalar seconds to ensnare a calibration-size fish at power 1
bakalar.catch.power,1,0.1,10,bakalar net power at one stack
bakalar.catch.powerPerLevel,0.55,0,3,bakalar net power gained per stack
bakalar.catch.massExponent,2,0.5,4,"bakalar how fast resistance grows with radius - 2 is area, i.e. mass on a 2D field"
bakalar.catch.gripReset,0.5,0,5,bakalar seconds out of the net before a part-gripped fish starts again
bakalar.catch.maxPrey,3,0.5,12,bakalar biggest prey radius the net will hold at all - refuses whale-scale bodies outright
garlic.damagePerTick,4.5,0.1,12,sea garlic damage per tick — with tickInterval 0.25 this is x4 for a DPS
garlic.damagePerLevel,1.5,0,6,"sea garlic damage per tick added per stack. A third of base, so a maxed aura hits about three times as hard rather than only reaching further"
musselVolley.count,10,1,30,mussel shells in a level-1 barrage
musselVolley.countPerLevel,3,0,8,mussel shells added per stack
musselVolley.pipShellsMax,8,0,20,"mussel ceiling on the bonus shells a charged release buys — one per whole pip spent, capped here so a long chain lays down a fan rather than a screen of its own projectiles"
musselVolley.damage,34,1,120,mussel direct hit damage per shell
musselVolley.damagePerLevel,12,0,40,mussel direct hit damage per shell per stack
musselVolley.splashDamage,58,0,200,"mussel blast damage per shell. Worth more than the direct hit on purpose — a homing shell almost always finds a body, so the blast is what the barrage is actually for"
musselVolley.splashDamagePerLevel,22,0,60,mussel blast damage per shell per stack
musselVolley.splashRadius,4.6,0.5,12,mussel blast radius per shell
